image_name,confidence_value,IoU_value
IMG_1234.jpg,0.0,0.0
IMG_1243.jpg,0.8911780118942261,0.9071959853172302
IMG_1263.jpg,0.8595491051673889,0.9305270910263062
IMG_1284.jpg,0.6131095886230469,0.4675569236278534
IMG_20100101_031404.jpg,0.840311586856842,0.8812088966369629
IMG_20100101_032415.jpg,0.6970699429512024,0.8013333082199097
IMG_20100101_032553.jpg,0.7481818199157715,0.8921388387680054
IMG_20100101_033113.jpg,0.9038474559783936,0.9854417443275452
IMG_20100101_033117.jpg,0.8348574638366699,0.862614631652832
IMG_20100101_033559.jpg,0.8373264670372009,0.0
IMG_20100101_033637.jpg,0.8855959177017212,0.0
IMG_20180713_104842.jpg,0.833879292011261,0.0
IMG_20180713_110324.jpg,0.855897068977356,0.60918790102005
IMG_20180714_103949.jpg,0.7313359975814819,0.8321146368980408
IMG_20180717_120957.jpg,0.4183955788612366,0.8070763349533081
IMG_20180717_122754.jpg,0.8047003149986267,0.8845590949058533
IMG_20180719_123752.jpg,0.8087674379348755,0.9565887451171875
IMG_20180719_143723.jpg,0.815047562122345,0.8399203419685364
IMG_20180720_142111.jpg,0.7897656559944153,0.39141789078712463
IMG_20180720_142558.jpg,0.5964125990867615,0.639423131942749
IMG_20180720_142731.jpg,0.8671506643295288,0.9550206065177917
IMG_20180720_143100.jpg,0.789141058921814,0.8685426115989685
IMG_20180721_090127.jpg,0.7266108989715576,0.9428963661193848
IMG_20180721_091732.jpg,0.6420624256134033,0.9140263795852661
IMG_20180723_123134.jpg,0.8045700192451477,0.936090350151062
IMG_20180723_123154.jpg,0.3062452971935272,0.0
IMG_20180723_123302.jpg,0.5968756675720215,0.619306206703186
IMG_20180724_121309.jpg,0.8009018301963806,0.538191556930542
IMG_20180724_121832.jpg,0.775489091873169,0.6575535535812378
IMG_20180724_121957.jpg,0.7157630324363708,0.396220326423645
IMG_20180724_123021.jpg,0.0,0.0
IMG_20180724_125716.jpg,0.8089941143989563,0.9527310132980347
IMG_20180724_150928.jpg,0.8914874196052551,0.8805890083312988
IMG_20180725_122016.jpg,0.7689374089241028,0.8969840407371521
IMG_20180725_122619.jpg,0.8551895618438721,0.9220635890960693
IMG_20180726_122652.jpg,0.8285602331161499,0.8070579767227173
IMG_20180810_092723.jpg,0.8817670345306396,0.8575434684753418
IMG_20180810_093037.jpg,0.9058535695075989,0.8957117199897766
IMG_20180810_093330.jpg,0.6126636862754822,0.8595733642578125
IMG_20180811_083610.jpg,0.6842963099479675,0.7034487128257751
